ASV,Kingdom,Phylum,Class,Order,Family,Genus,Species
110,Eukaryota,Bryozoa,Gymnolaemata,Cheilostomatida,Membraniporidae,Membranipora,Membranipora villosa
111,Eukaryota,Arthropoda,Copepoda,Calanoida,Acartiidae,Acartia,Acartia tonsa
112,Eukaryota,Mollusca,Gastropoda,Littorinimorpha,Atlantidae,Atlanta,Atlanta sp. USNM IZ 1230636
113,Eukaryota,Mollusca,Gastropoda,Nudibranchia,Glaucidae,Hermissenda,Hermissenda opalescens
114,Eukaryota,Bryozoa,Gymnolaemata,Cheilostomatida,Membraniporidae,Membranipora,Membranipora villosa
115,Eukaryota,Arthropoda,Copepoda,Calanoida,Pontellidae,Labidocera,Labidocera trispinosa
116,Eukaryota,Arthropoda,Ostracoda,Halocyprida,Halocyprididae,Discoconchoecia,NA
117,Eukaryota,Arthropoda,Copepoda,Calanoida,Clausocalanidae,Clausocalanus,Clausocalanus parapergens
118,NA,NA,NA,NA,NA,NA,NA
119,Eukaryota,Arthropoda,Copepoda,Calanoida,Calanidae,Calanus,Calanus pacificus
120,Eukaryota,Arthropoda,Copepoda,Calanoida,Clausocalanidae,Clausocalanus,Clausocalanus parapergens
121,Eukaryota,Arthropoda,Copepoda,Calanoida,Paracalanidae,Paracalanus,Paracalanus sp. C AC_2013
122,NA,NA,NA,NA,NA,NA,NA
123,Eukaryota,Arthropoda,Ostracoda,Halocyprida,Halocyprididae,Paraconchoecia,Paraconchoecia allotherium
124,Eukaryota,Arthropoda,Copepoda,Poecilostomatoida,Corycaeidae,Farranula,NA
125,Eukaryota,Echinodermata,Echinoidea,Camarodonta,Strongylocentrotidae,Mesocentrotus,NA
126,Eukaryota,Echinodermata,Ophiuroidea,Amphilepidida,Ophionereidae,Ophionereis,NA
127,Eukaryota,Arthropoda,Copepoda,Calanoida,Scolecitrichidae,Scolecithricella,Scolecithricella dentata
128,Eukaryota,Arthropoda,Copepoda,Calanoida,Paracalanidae,NA,NA
129,Eukaryota,Arthropoda,Copepoda,Calanoida,Paracalanidae,Paracalanus,Paracalanus sp. C AC_2013
130,Eukaryota,Arthropoda,Copepoda,Calanoida,Scolecitrichidae,Scolecithricella,Scolecithricella dentata
131,Eukaryota,Arthropoda,Copepoda,Calanoida,Scolecitrichidae,Scolecithricella,Scolecithricella dentata
132,Eukaryota,Arthropoda,Ostracoda,Halocyprida,Halocyprididae,Conchoecetta,Conchoecetta giesbrechti
133,NA,NA,NA,NA,NA,NA,NA
134,Eukaryota,Arthropoda,Copepoda,Calanoida,Clausocalanidae,Clausocalanus,Clausocalanus parapergens
135,Eukaryota,Arthropoda,Copepoda,Calanoida,Clausocalanidae,Clausocalanus,Clausocalanus pergens
136,NA,NA,NA,NA,NA,NA,NA
137,NA,NA,NA,NA,NA,NA,NA
138,Eukaryota,Arthropoda,Copepoda,Calanoida,Calanidae,Calanus,Calanus pacificus
139,Eukaryota,Arthropoda,Copepoda,Calanoida,Calocalanidae,Calocalanus,NA
140,NA,NA,NA,NA,NA,NA,NA
141,Eukaryota,Arthropoda,Copepoda,Calanoida,Paracalanidae,Paracalanus,Paracalanus sp. C AC_2013
142,Eukaryota,Arthropoda,Copepoda,Calanoida,Mecynoceridae,Mecynocera,Mecynocera clausi
143,Eukaryota,Arthropoda,Copepoda,Calanoida,Pontellidae,Labidocera,Labidocera trispinosa
144,Eukaryota,Arthropoda,Copepoda,Calanoida,Mecynoceridae,Mecynocera,Mecynocera clausi
145,Eukaryota,Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,Hansarsia,NA
146,Eukaryota,Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,Hansarsia,NA
147,Eukaryota,Arthropoda,Copepoda,Calanoida,Pontellidae,Labidocera,Labidocera trispinosa
148,NA,NA,NA,NA,NA,NA,NA
149,Eukaryota,Annelida,Polychaeta,Spionida,Spionidae,NA,NA
150,NA,NA,NA,NA,NA,NA,NA
151,Eukaryota,Arthropoda,Copepoda,Calanoida,Pontellidae,Labidocera,Labidocera trispinosa
152,NA,NA,NA,NA,NA,NA,NA
153,Eukaryota,Arthropoda,Copepoda,Calanoida,Candaciidae,Candacia,Candacia curta
154,NA,NA,NA,NA,NA,NA,NA
155,Eukaryota,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Pseudo_nitzschia,NA
156,NA,NA,NA,NA,NA,NA,NA
157,Eukaryota,Arthropoda,Copepoda,Calanoida,Calanidae,Calanus,Calanus pacificus
158,Eukaryota,Chordata,Actinopteri,Argentiniformes,Bathylagidae,Leuroglossus,Leuroglossus stilbius
159,NA,NA,NA,NA,NA,NA,NA
160,NA,NA,NA,NA,NA,NA,NA
161,Eukaryota,Chordata,Actinopteri,Scombriformes,Scombridae,Scomber,Scomber japonicus
162,Eukaryota,Arthropoda,Copepoda,Calanoida,Calanidae,Calanus,Calanus pacificus
163,Eukaryota,Arthropoda,Copepoda,Calanoida,Pontellidae,Labidocera,Labidocera trispinosa
164,NA,NA,NA,NA,NA,NA,NA
165,Eukaryota,Bryozoa,Gymnolaemata,Cheilostomatida,Membraniporidae,Membranipora,Membranipora villosa
166,NA,NA,NA,NA,NA,NA,NA
167,Eukaryota,Arthropoda,Copepoda,Calanoida,Pontellidae,Labidocera,Labidocera trispinosa
168,NA,NA,NA,NA,NA,NA,NA
169,NA,NA,NA,NA,NA,NA,NA
170,Eukaryota,Arthropoda,Copepoda,Calanoida,Calanidae,Calanus,Calanus pacificus
171,Eukaryota,Arthropoda,Copepoda,Calanoida,Pontellidae,Labidocera,Labidocera trispinosa
172,Eukaryota,Arthropoda,Malacostraca,Decapoda,Sergestidae,Eusergestes,Eusergestes similis
173,Eukaryota,Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,Nyctiphanes,Nyctiphanes simplex
174,Eukaryota,Arthropoda,Copepoda,Calanoida,Clausocalanidae,Clausocalanus,Clausocalanus pergens
175,Eukaryota,Mollusca,Gastropoda,Nudibranchia,Glaucidae,Hermissenda,NA
176,NA,NA,NA,NA,NA,NA,NA
177,Eukaryota,Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,Hansarsia,Hansarsia difficilis
178,Eukaryota,Chordata,Actinopteri,Scombriformes,Scombridae,Scomber,Scomber japonicus
179,Eukaryota,Arthropoda,Copepoda,Calanoida,Pontellidae,Labidocera,Labidocera trispinosa
180,Eukaryota,Arthropoda,Ostracoda,Halocyprida,Halocyprididae,Conchoecetta,Conchoecetta giesbrechti
181,NA,NA,NA,NA,NA,NA,NA
182,Eukaryota,Arthropoda,Copepoda,Calanoida,Clausocalanidae,Clausocalanus,Clausocalanus paululus
183,Eukaryota,Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,Nyctiphanes,Nyctiphanes simplex
184,NA,NA,NA,NA,NA,NA,NA
185,NA,NA,NA,NA,NA,NA,NA
186,Eukaryota,Arthropoda,Copepoda,Calanoida,Pontellidae,Labidocera,Labidocera trispinosa
187,Eukaryota,Mollusca,Cephalopoda,Octopoda,Octopodidae,Octopus,NA
188,Eukaryota,Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,Nyctiphanes,Nyctiphanes simplex
189,Eukaryota,Arthropoda,Ostracoda,Halocyprida,Halocyprididae,Discoconchoecia,NA
190,Eukaryota,Cnidaria,Hydrozoa,Siphonophorae,Sphaeronectidae,NA,NA
191,Eukaryota,Arthropoda,Copepoda,Calanoida,Clausocalanidae,Clausocalanus,NA
192,Eukaryota,Arthropoda,Copepoda,Poecilostomatoida,Oncaeidae,Oncaea,Oncaea sp.
193,Eukaryota,Arthropoda,Copepoda,Calanoida,Calanidae,Calanus,Calanus pacificus
194,Eukaryota,Arthropoda,Copepoda,Calanoida,Clausocalanidae,Clausocalanus,Clausocalanus paululus
195,Eukaryota,Arthropoda,Copepoda,Calanoida,Pontellidae,Labidocera,Labidocera trispinosa
196,Eukaryota,Arthropoda,Copepoda,Calanoida,Calanidae,Calanus,Calanus pacificus
197,Eukaryota,Arthropoda,Copepoda,Calanoida,Paracalanidae,Paracalanus,NA
198,Eukaryota,Cnidaria,Hydrozoa,Siphonophorae,Athorybiidae,NA,NA
